Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Date listed (MM/DD/YYYY),Property price (USD),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country,Latitude,Longitude,Zestimate (USD)
"https://www.zillow.com/homedetails/853-Villagepoint-Ln-Fort-Worth-TX-76108/79947759_zpid/","","House for sale","Single Family","0","06/24/2025","219000","1002","sqft","218.56","4138.2","sqft","2","1","853 Villagepoint Ln","Fort Worth","76108","TX","USA","32.750435","-97.51226","217300"
"https://www.zillow.com/homedetails/1601-Connally-Ter-Arlington-TX-76010/28923835_zpid/","","House for sale","Single Family","0","06/24/2025","228000","1308","sqft","174.31","9147.6","sqft","3","1","1601 Connally Ter","Arlington","76010","TX","USA","32.717255","-97.093544","205300"
"https://www.zillow.com/homedetails/1301-Moore-Ter-Arlington-TX-76010/29124793_zpid/","","House for sale","Single Family","0","06/24/2025","259900","1342","sqft","193.67","7274.52","sqft","4","1","1301 Moore Ter","Arlington","76010","TX","USA","32.723656","-97.090866","254900"
"https://www.zillow.com/homedetails/7005-Deer-Ridge-Dr-Fort-Worth-TX-76137/29313247_zpid/","","House for sale","Single Family","0","06/24/2025","315000","1598","sqft","197.12","5488.56","sqft","3","2","7005 Deer Ridge Dr","Fort Worth","76137","TX","USA","32.86801","-97.27322","311600"
"https://www.zillow.com/homedetails/6020-Maple-Leaf-Dr-Arlington-TX-76017/29230892_zpid/","","House for sale","Single Family","0","06/24/2025","290000","1464","sqft","198.09","6751.8","sqft","3","2","6020 Maple Leaf Dr","Arlington","76017","TX","USA","32.647198","-97.12262",""
"https://www.zillow.com/homedetails/11800-Cottontail-Dr-Fort-Worth-TX-76244/70557710_zpid/","","House for sale","Single Family","0","06/24/2025","315000","1521","sqft","207.1","7840.8","sqft","4","2","11800 Cottontail Dr","Fort Worth","76244","TX","USA","32.945053","-97.30014",""
"https://www.zillow.com/homedetails/5602-Woodhollow-Dr-Arlington-TX-76016/29021484_zpid/","","House for sale","Single Family","0","06/24/2025","290000","1448","sqft","200.28","7797.24","sqft","3","2","5602 Woodhollow Dr","Arlington","76016","TX","USA","32.694084","-97.19092","286200"
"https://www.zillow.com/homedetails/216-Lemon-Dr-Arlington-TX-76018/28978669_zpid/","","House for sale","Single Family","0","06/24/2025","287900","1448","sqft","198.83","7187.4","sqft","3","2","216 Lemon Dr","Arlington","76018","TX","USA","32.66184","-97.11123","283000"
"https://www.zillow.com/homedetails/1424-Doe-Meadow-Dr-Burleson-TX-76028/79963357_zpid/","","House for sale","Single Family","0","06/24/2025","378000","1849","sqft","204.43","5488.56","sqft","4","2","1424 Doe Meadow Dr","Burleson","76028","TX","USA","32.586597","-97.29394","372900"
"https://www.zillow.com/homedetails/953-Mesa-Vista-Dr-Crowley-TX-76036/66641625_zpid/","","House for sale","Single Family","0","06/24/2025","280000","1816","sqft","154.19","6011.28","sqft","3","2","953 Mesa Vista Dr","Crowley","76036","TX","USA","32.57342","-97.34332","278900"
"https://www.zillow.com/homedetails/9748-Sparrow-Hawk-Ln-Fort-Worth-TX-76108/79934259_zpid/","","House for sale","Single Family","0","06/24/2025","285000","1673","sqft","170.35","6272.64","sqft","3","2","9748 Sparrow Hawk Ln","Fort Worth","76108","TX","USA","32.768047","-97.4872","283600"
"https://www.zillow.com/homedetails/5561-Alter-Dr-Fort-Worth-TX-76119/28944028_zpid/","","House for sale","Single Family","0","06/24/2025","219900","1362","sqft","161.45","6446.88","sqft","3","2","5561 Alter Dr","Fort Worth","76119","TX","USA","32.716545","-97.2348","219600"
"https://www.zillow.com/homedetails/5909-Fletcher-Ave-Fort-Worth-TX-76107/28954183_zpid/","","House for sale","Single Family","0","06/24/2025","255000","1404","sqft","181.62","5967.72","sqft","3","2","5909 Fletcher Ave","Fort Worth","76107","TX","USA","32.72428","-97.41216","251600"
"https://www.zillow.com/homedetails/1315-Navaho-St-Arlington-TX-76012/29012411_zpid/","","House for sale","Single Family","0","06/24/2025","330000","2047","sqft","161.21","8407.08","sqft","3","2","1315 Navaho St","Arlington","76012","TX","USA","32.75733","-97.125656","344700"
"https://www.zillow.com/homedetails/4720-Michelle-Dr-Arlington-TX-76016/29021349_zpid/","","House for sale","Single Family","0","06/24/2025","250000","1889","sqft","132.35","8363.52","sqft","3","2","4720 Michelle Dr","Arlington","76016","TX","USA","32.66987","-97.22515","244000"
"https://www.zillow.com/homedetails/6743-Silver-Sage-Dr-Fort-Worth-TX-76137/29209577_zpid/","","House for sale","Single Family","0","06/24/2025","265000","1220","sqft","217.21","4617.36","sqft","3","2","6743 Silver Sage Dr","Fort Worth","76137","TX","USA","32.862972","-97.28559","262100"
"https://www.zillow.com/homedetails/2101-Mistletoe-Ave-Fort-Worth-TX-76110/29198807_zpid/","","House for sale","Single Family","0","06/24/2025","265000","1264","sqft","209.65","10323.72","sqft","2","3","2101 Mistletoe Ave","Fort Worth","76110","TX","USA","32.728523","-97.34904",""
"https://www.zillow.com/homedetails/3541-Lynnfield-Dr-Fort-Worth-TX-76103/29042547_zpid/","","House for sale","Single Family","0","06/24/2025","225000","1193","sqft","188.6","7501.03","sqft","3","2","3541 Lynnfield Dr","Fort Worth","76103","TX","USA","32.736008","-97.27297","222900"
"https://www.zillow.com/homedetails/1814-Guinevere-St-Arlington-TX-76014/28936034_zpid/","","House for sale","Single Family","0","06/24/2025","275000","1257","sqft","218.77","7361.64","sqft","3","2","1814 Guinevere St","Arlington","76014","TX","USA","32.697395","-97.08261",""
"https://www.zillow.com/homedetails/4053-Winfield-Ave-Fort-Worth-TX-76109/29158407_zpid/","","House for sale","Single Family","0","06/24/2025","420000","2164","sqft","194.09","6751.8","sqft","3","2","4053 Winfield Ave","Fort Worth","76109","TX","USA","32.68936","-97.3664","410500"
"https://www.zillow.com/homedetails/724-Kentucky-Derby-Ln-Fort-Worth-TX-76179/70562010_zpid/","","House for sale","Single Family","0","06/24/2025","345000","2193","sqft","157.32","5662.8","sqft","3","3","724 Kentucky Derby Ln","Fort Worth","76179","TX","USA","32.84147","-97.37262","342500"
